173948 91/08/26 2.767 123 0.492 1.479
174237 92/09/04 0.383  64 0.508 1.088
178175 91/08/26 1.009  74 0.407 1.440
183914 92/09/06 0.618 136 0.311 1.415
184279 91/08/27 8.797 125 0.379 1.591
185037 92/09/04 2.102 117 0.373 1.384
187811 92/09/06 3.029 166 0.475 1.391
191610 92/09/04 1.403 122 0.495 1.425
192044 92/09/06 1.001 105 0.386 1.435
193911 92/09/07 2.059  72 0.405 1.428
200120 92/09/02 0.668 211 0.598 1.403
202904 92/09/02 1.127  86 0.654 1.439
203467 92/09/02 1.237  82 0.468 1.426
209014 91/08/26 1.069 143 0.311 1.521
209014 91/08/29 0.915 144 0.316 1.495
209409 91/08/27 1.414 112 0.192 1.816
209409 91/08/30 1.147 119 0.181 1.868
210129 91/08/28 1.178  81 0.359 1.464
212076 91/08/27 0.924  69 0.690 1.425
212076 91/08/31 0.986  71 0.609 1.444
212076 92/09/02 1.178  75 0.741 1.456
212076 92/09/07 1.101  76 0.735 1.454
212076 96/09/21 1.127  83 0.648 1.454
212076 97/09/13 1.152  73 0.683 1.441
212571 91/08/26 6.393  94 0.607 1.400
214748 91/08/29 0.753 123 0.319 1.452
217891 91/08/26 1.089  56 0.613 1.438
224559 92/09/03 1.000 117 0.453 1.440
224559 99/09/26 1.030 121 0.469 1.415
