   144 125  6   1 4.114 4.00 248 42 -12 +27
  4180 195 13   1 4.190 3.05 264 83 -35  +7
  5394 432 11   6 4.447 3.32 489 70  -8 +20
  6811  85  4   1 4.130 3.15 330 20  -5  +9
  9612 270 12   2 4.107 3.85 319 67  -9 +23
 10144 235  4   2 4.306 3.50 389 54 -17 +36
 10516 440  7   2 4.405 4.00 433 90  -0  +0
 11606 280  2   1 4.418 4.00 413 66 -23  +2
 18552 288 15   2 4.130 3.95 320 71  -7 +19
 19243 160 12   2 4.369 3.00 443 29  -8 +13
 20336 328 10   3 4.320 4.00 413 63 -10 +27
 22192 275 13   5 4.222 3.25 304 72  -7 +18
 22780 285  9   1 4.166 3.65 330 68  -8 +22
 23016 235  8   2 4.125 3.40 319 81 -34  +9
 23302 170 18   3 4.166 3.03 256 63 -21 +27
 23480 240 15   5 4.162 2.92 310 61 -10 +29
 23552 220   a               320 67 -24 +23
 23630 140 10   2 4.130 4.00 241 51 -16 +39
 23862 290  9  11 4.126 3.82 310 75  -6 +15
 24534 293 13   2 4.420 3.03 506 51 -16 +39
 25940 197  5   4 4.257 3.08 336 52 -16 +38
 28497 342 22   6 4.384 3.90 430 63 -10 +27
 30076 213 29   3 4.404 3.50 430 42 -12 +26
 32343  95  9   1 4.353 3.55 373 20  -5  +8
 33328 318 13   4 4.358 4.00 359 70  -8 +20
 35411 170 17   1 4.260 4.00 443 31  -8 +15
 35439 263 10   4 4.403 3.51 379 68 -25 +22
 36576 265 10   2 4.412 3.50 415 59 -19 +31
 37202 245 33  16 4.332 4.22 335 79 -32 +11
 37490 155  5   3 4.247 3.58 319 41 -12 +24
 37795 180  2   1 4.130 3.20 310 51 -16 +39
 41335 358 18   6 4.381 3.58 362 83  -3  +7
 44458 242 33   3 4.425 3.63 458 45 -13 +35
 45725 330 43   4 4.325 4.00 384 68  -8 +22
 45995 255 19   1 4.267 3.95 398 59 -20 +31
 47054 219 12   8 4.125 3.75 310 71 -26 +19
 48917 205  5   3 4.399 3.50 359 50 -15 +40
 50013 243 20   3 4.402 3.50 398 55 -17 +35
 54309 195  5   2 4.322 3.50 378 44 -13 +30
 56014 280 18   3 4.292 3.83 308 72  -7 +18
 56139  85 10   5 4.340 3.50 378 18  -5  +7
 57219  80  3   2 4.300 3.75 378 16  -4  +7
 58050 130  5   2 4.374 4.05 413 25  -7 +11
 58343  43  4   2 4.365 3.50 336 10  -3  +3
 58978 375 35   3 4.466 4.00 473 62 -10 +28
