 58343 90/02/04    -0.040 0.869              0.793 80.095-81.929 0.004 -0.101
 58343 90/02/04 e1              -0.886 1.017 
 58343 92/01/19    -0.251 0.849              0.670 80.007-82.211 0.038 -0.099
 58343 92/01/19 e1              -0.886 1.055 
 58343 92/01/19 e2               0.595 1.050 
 58978 90/02/06     1.177 0.956              3.563 79.336-85.492 0.154
 58978 92/01/17     0.930 0.945              3.122 79.301-84.857 0.174
 60606 90/02/06     0.454 0.931              4.744 76.990-85.880 0.339
 60606 92/01/20     0.331 0.946              3.545 78.507-85.086 0.207
 63462 90/02/02     1.124 0.977              4.092 79.477-84.575 0.080
 66194 90/02/07                                    77.132-84.716 0.264
 66194 92/01/20     0.895 0.957              3.386 78.931-85.739 0.029 -0.128
 66194 92/01/20 e2               3.488 1.035 
 68980 90/02/03                                    78.366-85.210 0.070 -0.013
 68980 90/02/03 e1              -1.698 1.020 
 68980 90/02/03 e2               2.906 1.037 
 68980 92/01/15    -0.093 0.966              1.852 78.172-84.046 0.075 -0.057
 68980 92/01/15 e1              -2.068 1.026 
 68980 92/01/15 e2               2.059 1.056 
 75311 90/02/03    -0.004 0.957              7.161 77.026-85.933 0.278
 75311 92/01/17    -0.110 0.953              6.720 77.378-86.692 0.286
 77320 90/02/07     0.842 0.936              6.861 77.520-86.445 0.383
 77320 92/01/18     0.507 0.946              6.014 77.220-86.057 0.295
 83953 90/02/02     0.789 0.949              5.573 77.308-86.057 0.276
 83953 92/01/17     0.384 0.952              5.556 76.990-85.457 0.241
 86612 90/02/03     0.384 0.945              2.857 77.749-85.422 0.039 -0.159
 86612 90/02/03 e1              -2.915 1.015 
 86612 90/02/03 e2               3.241 1.027 
 86612 92/01/15     0.560 0.932              3.210 78.119-85.457 0.020 -0.205
 86612 92/01/15 e1              -2.597 1.014 
 86612 92/01/15 e2               3.329 1.015 
 88661 90/02/06    -0.657 0.976              4.109 77.943-82.829 0.084
 88661 92/01/17    -0.198 0.973              3.192 77.132-86.762 0.088 -0.049
 88661 92/01/17 e1              -3.109 1.042 
 88661 92/01/17 e2               3.629 1.029 
 88661 96/03/06    -0.392 0.952              3.598 77.414-85.139 0.002 -0.161
 88661 96/03/06 e1              -3.532 1.004 
 88661 96/03/06 e2               3.664 1.001 
 89080 92/01/20     0.199 0.922              4.621 77.414-85.263 0.355
 91120 90/02/04     0.313 0.939              5.344 77.361-85.704 0.310
 91120 92/01/18     0.348 0.939              5.044 77.414-84.981 0.292
 91465 90/02/02     0.507 0.933              5.221 77.467-85.651 0.327
 91465 92/01/15     0.049 0.934              4.074 77.696-85.422 0.270
 91465 96/03/06     0.366 0.923              4.656 77.608-85.933 0.362
105435 90/02/03     0.384 0.954              3.915 78.684-84.928 0.155
105435 91/08/27     0.613 0.959              4.003 79.301-85.175 0.147
105435 92/01/15     0.454 0.972              2.998 78.648-86.057 0.019 -0.083
105435 92/01/15 e1              -2.597 0.997 
105435 92/01/15 e2               4.176 1.023 
105435 96/03/06     0.243 0.961              3.862 77.590-87.485 0.173
105435 96/03/06 e2               3.770 0.997 
105521 96/03/06    -0.428 0.896              2.839 77.696-85.086 0.335
109387 96/02/21    -0.097 0.935              4.527 77.234-84.871 0.282
109387 96/02/21 e1              -2.250 0.994 
109387 96/02/21 e2               3.034 0.996 
110432 90/02/02     0.225 0.977              3.739 78.596-83.852 0.080
110432 92/01/18     0.313 0.977              3.051 79.442-84.152 0.057
112091 90/02/02     0.419 0.939              4.709 78.437-85.122 0.260
113120 90/02/07     1.278 0.966              5.064 78.075-86.255 0.199
113120 90/02/07 c               -1.020 0.947 
113120 92/01/20     0.662 0.981              
113120 92/01/20 c               -0.587 0.950 
120324 90/02/02    -0.087 0.934              3.648 78.242-84.106 0.228
120324 91/08/26     0.179 0.929              3.864 78.192-84.206 0.250
120324 92/01/15     0.129 0.924              3.431 78.159-83.673 0.247
124367 90/02/04     0.529 0.956              5.880 76.993-85.389 0.238
124367 91/08/27     0.745 0.935              5.563 76.793-85.722 0.335
124367 92/01/19     0.312 0.940              6.330 76.993-85.722 0.347
127972 90/02/05    -0.271 0.954              6.480 77.276-86.371 0.258
127972 91/08/27                                    77.926-86.455 0.195
127972 96/03/08                                    78.059-86.854 0.326
131492 90/02/06    -0.137 0.940              3.281 78.242-83.856 0.187
131492 91/08/28     0.479 0.947              3.714 78.609-84.522 0.186
131492 92/01/19     0.023 0.971              2.354 78.485-84.136 0.005 -0.073
131492 92/01/19 e1              -2.076 1.011 
131492 92/01/19 e2               2.005 0.995 
134481 91/08/27     0.029 0.909              3.881 77.892-84.156 0.341
135734 90/02/07     0.096 0.859              1.599 76.776-86.371 0.359
135734 91/08/28     0.229 0.857              1.582 77.526-85.988 0.334
135734 92/01/20     0.179 0.872              1.515 77.492-85.389 0.272
137387 91/08/29                                    77.792-86.321 0.252
137387 92/01/20     0.362 0.939              4.847 77.409-85.272 0.265
137387 92/01/20 c               -1.503 0.940 
138749 96/07/03     0.079 0.957              8.212 76.610-86.655 0.318
142184 91/08/30                                    77.143-85.488 0.358
142983 90/02/04     0.346 0.835              2.432 77.992-85.488 0.514
142983 91/08/25     0.129 0.761              2.298 77.992-85.938 0.736
142983 91/08/31     0.129 0.759              1.599 78.059-85.588 0.615
142983 92/01/19    -0.004 0.774              1.765 77.492-85.355 0.644
148184 90/02/06    -0.149 0.998                    79.060-83.856 0.073 -0.001
148184 90/02/06 e1              -1.411 1.030 
148184 90/02/06 e2               1.149 1.034 
148184 91/08/29     0.139 0.992                    79.060-83.585 0.065 -0.003
148184 91/08/29 e1              -1.483 1.038 
148184 91/08/29 e2               1.492 1.041 
148184 92/01/18     0.175 1.005                    79.060-84.631 0.141 -0.000
148184 92/01/18 e1              -1.483 1.052 
148184 92/01/18 e2               1.474 1.052 
157042 91/08/30     0.807 0.948              5.968 77.671-85.785 0.270
158427 91/08/30     0.428 0.930              4.958 76.896-85.082 0.334
158643 91/08/30    -0.185 0.920              4.363 77.239-84.974 0.334
164284 91/08/26    -0.906 0.953              5.932 77.040-86.037 0.277
164284 91/08/26 c                0.424 0.933 
164284 91/08/26 c                0.662 0.928 
164284 92/09/03    -0.059 0.960              5.463 77.293-85.947 0.237
164284 92/09/03 c               -0.762 0.950 
164284 92/09/03 c                1.934 0.960 
164284 96/07/03    -0.383 0.965              5.102 76.355-84.198 0.184
164284 96/07/03 c               -0.473 0.943 
164284 96/07/03 c                0.626 0.962 
164284 96/09/22    -0.924 0.964              5.102 76.319-84.649 0.186
164284 96/09/22 c                0.662 0.950 
167128 91/08/29     0.428 0.803              0.919 80.827-82.900 0.208
173948 91/08/26     0.139 0.934              4.165 78.086-84.920 0.005 -0.244
173948 91/08/26 e1              -2.709 0.993 
173948 91/08/26 e2               3.115 1.012 
174237 92/09/05     0.284 0.936              3.425 77.581-84.631 0.238
174638 92/09/06     1.906 0.699              1.262 81.476-84.631 0.423
174638 92/09/06 c               -1.303 0.917 
175869 91/08/29    -0.095 0.902              3.624 78.339-84.018 0.333
178175 91/08/26     0.194 0.894              2.452 78.140-84.343 0.305
183656 91/08/28    -0.185 0.887              4.543 76.608-86.164 0.545
183656 91/08/28 c               -0.618 0.863 
183656 92/09/07    -0.293 0.883              4.363 76.265-85.316 0.548
183914 92/09/06    -0.041 0.939              5.481 77.076-85.028 0.314
184279 91/08/27     0.572 0.918              3.137 78.086-85.947 0.333
184279 91/08/27 c               -0.203 0.889 
185037 92/09/05    -0.383 0.943              5.914 75.977-85.406 0.336
187811 92/09/06    -0.347 0.954              5.391 76.409-85.749 0.021 -0.204
189687 92/09/05    -0.113 0.948              4.760 77.960-84.307 0.235
191610 92/09/05    -0.834 0.956              5.823 76.752-84.397 0.220
192044 92/09/06    -0.185 0.943              5.535 76.283-86.218 0.313
193911 92/09/07     0.085 0.928              4.038 77.870-87.191 0.306
198183 92/09/07    -0.690 0.904              2.794 78.537-83.856 0.266
200120 92/09/03    -0.040 0.972              5.644 78.119-84.998 0.150
201733 99/09/16     0.172 0.931              5.697 77.608-86.833 0.385
202904 92/09/03    -0.234 0.953              3.298 77.943-84.945 0.009 -0.147
203467 92/09/03     0.384 0.928              4.356 77.502-84.222 0.296
203467 94/08/09     0.048 0.929              3.474 78.454-83.199 0.225
205637 91/08/26    -0.057 0.931              4.938 76.885-85.933 0.355
205637 91/08/31     0.031 0.930              5.732 76.761-86.215 0.375
205637 96/09/21    -0.763 0.926              6.438 76.814-85.598 0.430
208057 91/08/28    -0.234 0.902              2.539 79.142-82.811 0.233
208682 92/09/07    -0.287 0.955                    77.467-85.651 0.252
209014 91/08/26     0.172 0.939              6.632 75.967-85.422 0.363
209014 91/08/29     0.225 0.941              6.314 75.756-86.356 0.377
209409 91/08/27     0.419 0.918              4.462 77.079-85.351 0.356
209409 91/08/30     0.366 0.912              4.956 77.520-85.422 0.400
209522 91/08/27     0.525 0.946              6.455 77.043-86.392 0.310
210129 91/08/28    -0.763 0.899              3.439 77.890-82.723 0.298
212076 91/08/27     0.366 0.956              2.151 79.425-83.287 0.004 -0.076
212076 91/08/31    -0.251 0.951              1.975 78.734-83.717 0.014 -0.092
212076 92/09/03    -0.675 0.955              2.575 77.784-84.892 0.041 -0.102
212076 92/09/06    -0.763 0.951                    77.696-86.392 0.046 -0.103
212076 96/01/30    -0.004 0.926              2.522 79.671-83.164 0.173
212076 96/09/21    -0.198 0.935              2.010 78.878-85.210 0.144
212076 97/09/13     0.366 0.991                    78.543-85.510 0.112 -0.009
212571 91/08/26    -0.392 0.942              4.709 77.608-84.804 0.249
214168 92/09/06                                    77.555-86.674 0.207
214748 91/08/26     0.242 0.931              4.938 77.502-84.804 0.308
214748 91/08/29     0.137 0.930              4.550 77.661-84.787 0.309
217050 92/09/05    -0.093 0.854              2.557 77.520-85.598 0.459
217050 96/01/30    -0.622 0.890              2.204 77.184-85.933 0.366
217891 91/08/26     0.048 0.879              1.781 79.336-84.011 0.015 -0.206
224544 99/09/28    -0.145 0.949              7.073 77.096-85.263 0.320
224559 92/09/04    -0.392 0.954              6.702 77.132-86.057 0.279
