 58978 92/01/17 a  1.293 0.910
 58978 92/01/17 e  4.476 0.985
 60606 90/02/06 e -0.823 0.937
 60606 90/02/06 a  1.058 0.913
 60606 90/02/06 e  3.347 0.970
 60606 92/01/20 e -0.745 0.972
 60606 92/01/20 a  0.854 0.944
 60606 92/01/20 e  3.347 1.006
 63462 92/01/16 e -1.168 0.960
 63462 92/01/16 a  1.309 0.949
 63462 92/01/16 e  3.739 0.992
 68980 90/02/03 e  0.666 0.960
 68980 90/02/03 a  1.560 0.944
 68980 90/02/03 e  3.394 0.965
 68980 92/01/15 e  2.485 0.998
 68980 92/01/15 a  3.473 0.944
 68980 92/01/15 e  4.805 0.978
 86612 90/02/03 e  0.227 0.910
 86612 90/02/03 a  1.293 0.902
 86612 90/02/03 e  2.548 0.941
 86612 92/01/15 e  0.431 0.899
 86612 92/01/15 a  0.839 0.888
 86612 92/01/15 e  2.344 0.922
 88661 90/02/06 e -0.698 0.926
 88661 90/02/06 a  0.415 0.927
 88661 90/02/06 e  2.563 0.988
 88661 96/03/06 e -0.024 0.934
 88661 96/03/06 e  2.987 0.980
 91465 90/02/02 e -0.275 0.921
 91465 90/02/02 a  1.215 0.899
 91465 90/02/02 e  3.645 0.958
 91465 92/01/15 e -0.698 0.944
 91465 92/01/15 a  0.886 0.927
 91465 92/01/15 e  2.924 0.983
 91465 96/03/06 e -0.713 0.986
 91465 96/03/06 a  1.309 0.952
 91465 96/03/06 e  3.441 0.989
105435 90/02/03 e -0.322 0.898
105435 90/02/03 a  0.839 0.901
105435 90/02/03 e  1.811 0.935
105435 91/08/27 e  0.039 0.941
105435 96/03/06 e  0.055 0.960
105435 96/03/06 a  1.168 0.951
105435 96/03/06 e  1.967 0.967
105435 96/03/06 e  3.143 0.980
105435 96/03/06 e  3.990 0.983
109387 95/02/07 e -0.698 0.911
109387 95/02/07 a  0.729 0.923
109387 95/02/07 e  2.312 0.952
109387 96/02/21 e -1.027 0.895
109387 96/02/21 a  0.980 0.916
109387 96/02/21 e  2.892 0.945
110432 90/02/02 e -0.447 0.967
110432 90/02/02 a  0.886 0.945
110432 90/02/02 e  2.971 0.992
110432 92/01/18 e -0.494 0.957
110432 92/01/18 a  1.011 0.943
110432 92/01/18 e  2.093 0.986
113120 90/02/07 e -0.745 0.932
113120 90/02/07 e  2.062 0.945
124367 90/02/04 e -0.149 0.898
124367 90/02/04 a  1.105 0.895
124367 90/02/04 e  2.689 0.947
124367 91/08/27 e -0.118 0.888
124367 91/08/27 a  0.635 0.879
124367 91/08/27 e  2.987 0.944
124367 92/01/19 e -0.118 0.888
124367 92/01/19 a  0.729 0.879
124367 92/01/19 e  2.062 0.929
131492 91/08/28 e -1.529 0.921
131492 91/08/28 e  3.269 0.964
131492 92/01/19 e -0.776 0.946
131492 92/01/19 e  1.591 0.963
142983 90/02/04 a  1.168 0.639
142983 91/08/25 a  1.215 0.492
142983 91/08/31 a  1.184 0.476
142983 92/01/19 a  1.136 0.423
148184 90/02/06 e -0.322 0.968
148184 90/02/06 a  0.431 0.948
148184 90/02/06 e  1.591 1.019
148184 91/08/29 e -0.165 0.976
148184 91/08/29 a  0.556 0.962
148184 91/08/29 e  1.434 1.009
148184 92/01/18 e -0.196 0.994
148184 92/01/18 a  0.353 0.964
148184 92/01/18 e  1.560 1.001
158427 91/08/30 e -1.247 0.910
158427 91/08/30 a  0.604 0.908
158427 91/08/30 e  2.987 0.964
164284 91/08/26 e -0.416 0.922
164284 91/08/26 e  1.936 0.978
164284 92/09/02 e  1.560 0.971
174638 92/09/06 e -0.776 0.901
174638 92/09/06 a  2.563 0.879
183656 91/08/28 a  0.682 0.622
183656 92/09/07 a  0.839 0.618
191610 92/09/04 e -1.827 0.928
191610 92/09/04 e  3.473 0.985
200120 92/09/02 e -1.827 0.893
200120 92/09/02 a  1.607 0.910
200120 92/09/02 e  3.739 0.941
202904 92/09/02 e -0.463 0.945
202904 92/09/02 a  0.682 0.940
202904 92/09/02 e  1.967 0.968
209409 91/08/27 a  0.886 0.855
209409 91/08/30 a  0.839 0.876
212076 91/08/27 e -0.149 0.959
212076 91/08/27 e  2.109 0.992
212076 92/09/02 e  0.258 0.964
212076 92/09/02 a  0.980 0.957
212076 92/09/02 e  2.109 0.991
212076 92/09/07 e -0.149 0.964
212076 92/09/07 a  0.462 0.953
212076 92/09/07 e  2.046 0.996
212076 97/09/13 e  0.462 0.955
212076 97/09/13 e  2.265 0.978
217050 92/09/04 a  0.713 0.843
217891 91/08/26 e  0.102 0.913
217891 91/08/26 a  0.713 0.905
217891 91/08/26 e  1.670 0.935
