 41335 92/01/17 0.14209 1.89856  2.79961  0.554 0.300 205.75 379.01 0.209  0.131 35.713-46.335 1.1224  
 41335 92/01/20 0.27257 1.75397  1.14612  0.818 0.582        338.18 0.449        35.689-46.931 2.2859  
 41335 95/02/06 0.08560 1.84747  3.70077  0.587 0.237 214.76 252.32 0.120  0.061 36.682-46.128 0.6083  
 41335 96/03/06 0.35645 1.47956  1.48340  1.228 0.490 118.97 359.60 0.310  0.263 36.282-46.812 1.6350  
 44458 90/02/02 0.07931 2.01336  3.89347  0.820 0.227 176.01 325.36 0.176  0.083 34.910-44.640 0.7919  
 44458 92/01/18 0.00276 3.57168  9.36162  1.067 0.101 208.56 300.64 0.101  0.000 37.138-44.471 0.3198  
 45725 90/02/06 0.04961 1.90654  2.42320  0.803 0.338 238.20 368.13 0.099 -0.276 37.122-41.394        0.3421 -0.1569
 45725 92/01/16 0.09470 1.96078  2.95444  1.288 0.287 235.50 362.73 0.125 -0.187 36.941-44.466        0.4472 -0.1015
 45725 96/03/08 0.17940 1.70156  2.00309  1.066 0.393 209.17 364.01 0.174 -0.082 36.349-41.069        0.7136 -0.0318
 45995 95/02/06 0.16531 1.79144  4.10117  1.045 0.216 233.98 348.24 0.082  0.019 37.272-45.032 0.3178  
 47054 90/02/04 0.03147 2.27633  1.42392  0.817 0.505 213.97 325.02 0.031 -0.016 37.666-41.431        0.0859 -0.0110
 47054 92/01/18 0.02653 2.34538  1.48868  0.857 0.489 235.64 341.27 0.027 -0.027 37.387-41.740        0.0740 -0.0264
 47054 96/03/08 0.07310 1.80631  1.26557  0.974 0.546 173.85 306.96 0.060  0.038 37.763-44.921 0.2372  
 48917 90/02/03 0.00389 3.24462  5.08567  0.972 0.179 238.42 368.47 0.058 -0.032 36.425-41.642        0.2536 -0.0300
 48917 92/01/19 0.05002 2.34342  5.48153  1.697 0.167 219.28 349.22 0.080 -0.011 36.296-47.075        0.3137 -0.0039
 48917 96/03/08 0.02694 2.59895  4.75994  1.890 0.190 218.12 329.91 0.125  0.037 35.836-47.442 0.6047  
 50013 90/02/02 0.01442 2.47805  4.79698  0.878 0.188 148.95 223.43 0.121  0.044 38.334-44.226 0.3730  
 50013 92/01/15 0.97188 1.10083  2.44733  0.988 0.334  59.57 241.00 0.283  0.243 37.636-44.262 0.9442  
 54309 90/02/06 0.16832 1.52230  1.92520  0.833 0.405 171.20 291.58 0.168  0.091 37.627-44.018 0.6057  
 54309 92/01/15 0.29435 1.54269  4.12431  0.935 0.215 186.84 305.99 0.063  0.008 37.768-43.805 0.2142  
 56014 92/01/20 0.26267 1.87520  1.15329  0.960 0.580                                                        
 56014 96/03/08 0.17610 2.17900  2.29111  0.931 0.354                                                        
 56139 90/02/03 0.15732 1.86973  1.43011  0.923 0.503  67.65 151.53 0.249  0.188 39.135-42.544 0.5279  
 56139 92/01/15 0.15868 1.91360  1.47114  0.883 0.493  86.65 157.06 0.147  0.103 39.234-42.410 0.3049  
 57219 90/02/06 0.17605 1.49296  1.16181  0.568 0.577                                                        
 57219 92/01/19 0.08308 1.98876  1.56998  0.655 0.471                                                        
 58050 95/02/06 0.07764 2.08970  2.07584  0.907 0.382 117.02 244.93 0.225  0.184 37.713-44.136 0.7868  
 58050 96/02/21 0.03592 2.45228  4.29709  1.109 0.208 116.97 223.07 0.113  0.085 37.556-44.015 0.3570  
 58343 90/02/04 0.11580 1.92915  1.86312  0.433 0.415         81.15 0.198        38.075-41.757 0.2562  
 58343 92/01/19 0.04952 2.35890  2.16816  0.369 0.369         97.46 0.386        37.982-42.176 0.5369  
 58978 90/02/06 0.00606 2.70402  4.92031  1.349 0.184 389.29        0.038 -0.455 36.476-45.204        0.1457 -0.4715
 58978 92/01/17 0.23562 1.65590  4.90591  2.339 0.184 376.32 484.62 0.045 -0.050 35.997-46.659        0.1517 -0.1027
 60606 90/02/06 0.05307 2.12874  2.97507  0.495 0.286 194.90 322.13 0.107 -0.025 36.915-44.166        0.3644 -0.0130
 60606 92/01/20 0.05969 2.35384  3.30614  0.531 0.261 200.21 324.67 0.163  0.008 36.947-44.351 0.5852  
 63462 90/02/02 0.10892 1.69344  3.76322  0.754 0.233 253.03 474.09 0.123  0.095 35.039-46.530 0.7983  
 63462 92/01/16 0.02680 2.63347  6.13664  0.770 0.150 323.77 492.46 0.103  0.045 33.671-45.883 0.6331  
 66194 90/02/07 0.05627 1.98298  2.54021  0.682 0.325 311.53 409.05 0.042 -0.037 36.623-43.957        0.1176 -0.0540
 66194 92/01/20 0.04777 2.45380  2.73951  1.186 0.306 267.85 465.36 0.110  0.031 35.778-47.608 0.5740  
 68980 90/02/03 0.00819 2.84367  4.18982  0.716 0.212        170.47 0.519        32.526-48.628 1.4900  
 68980 92/01/15 0.13869 1.89352  4.05436  1.491 0.219  56.87 167.89 0.589  0.480 36.413-44.686 1.6328  
 75311 90/02/03 0.04094 2.19389  2.18875  0.835 0.367 411.23 476.59 0.019 -0.038 36.935-45.885        0.0344 -0.1047
 75311 92/01/17 0.04824 2.36454  1.83980  0.703 0.419                                                        
 77320 90/02/07 0.03751 2.19462  2.95039  0.796 0.288 367.93 459.92 0.024 -0.072 36.943-45.090        0.0554 -0.1497
 77320 92/01/18 0.07369 2.20035  2.95996  0.675 0.287 343.57 481.53 0.047 -0.028 36.448-47.180        0.1683 -0.0401
 83953 90/02/02 0.01879 2.45089  2.20050  0.756 0.365 309.57 367.77 0.037 -0.053 37.070-44.195        0.0814 -0.0888
 83953 92/01/17 0.01629 2.60821  2.22096  0.657 0.363 289.70 389.88 0.043 -0.058 37.037-45.504        0.1070 -0.1013
 86612 90/02/03 0.03411 2.11611  2.16621  0.842 0.370 146.13 276.01 0.173  0.126 35.651-47.052 0.7590  
 86612 92/01/15 0.09550 1.73858  1.39728  0.826 0.511 121.71 267.76 0.293  0.235 36.130-45.372 1.2825  
 88661 90/02/06 0.05711 2.27491  2.36254  0.715 0.345 166.09 337.44 0.292  0.208 34.213-47.000 1.5633  
 88661 92/01/17 0.12657 1.91813  2.98446  0.809 0.285 159.74 303.24 0.271  0.185 35.168-46.653 1.3532  
 88661 96/03/06 0.12419 1.87018  4.33138  1.941 0.206 166.09 294.06 0.155  0.072 36.335-45.047 0.5743  
 89080 92/01/20 0.04407 2.27057  1.37924  0.575 0.516 246.21 370.67 0.042 -0.047 37.143-45.369        0.1409 -0.0379
 91120 90/02/04 0.03303 2.03706  1.08961  0.755 0.601 277.38 437.82 0.023 -0.011 37.322-47.755        0.1084 -0.0045
 91120 92/01/18 0.03404 2.05525  1.15616  0.713 0.579 329.00 410.57 0.016 -0.023 37.522-44.765        0.0432 -0.0285
 91465 90/02/02 0.19508 1.60141  1.84539  0.779 0.418 184.97 332.94 0.154  0.066 37.175-44.865 0.6576  
 91465 92/01/15 0.14569 1.87033  2.33449  0.439 0.348 224.77 357.46 0.120  0.038 36.533-44.806 0.5106  
 91465 96/03/06 0.14359 1.80363  3.38437  0.818 0.256 209.66 318.57 0.069 -0.016 37.504-44.127        0.2062 -0.0084
105435 90/02/03 0.05785 1.98846  3.00798  0.612 0.283 139.99 266.53 0.256  0.172 35.531-44.457 0.9673  
105435 91/08/27 0.08109 2.05909  3.42797  0.871 0.253 154.28 270.67 0.233  0.183 37.577-45.179 0.9223  
105435 92/01/15 0.11196 1.96747  3.13552  0.553 0.273 116.30 273.17 0.242  0.213 37.261-45.054 0.9702  
105435 96/03/06 0.08304 2.02612  3.64159  0.778 0.240 130.72 264.16 0.218  0.142 37.170-45.884 0.8422  
105521 96/03/06 0.03679 2.71102  2.34907  0.477 0.347 244.23 312.07 0.046 -0.068 37.612-43.073        0.0904 -0.0969
109387 95/02/07 0.05000 2.21459  1.73278  0.348 0.439 209.50 375.47 0.080  0.010 36.130-44.324 0.3307  
109387 96/02/21 0.07155 2.00938  1.71658  0.317 0.441 236.68 369.98 0.071  0.017 36.393-44.192 0.2942  
110432 90/02/02 0.00029 4.24830  9.18825  1.389 0.103 174.40 317.09 0.263  0.155 35.233-45.409 1.1730  
110432 92/01/18 0.05168 2.08187  8.11874  2.264 0.116 165.02 311.11 0.266  0.179 35.977-45.299 1.1666  
112078 90/02/07 0.05240 1.93452  1.40812  0.635 0.508                                                        
112078 91/08/30 0.03211 2.26806  1.65790  0.620 0.453                                                        
112078 92/01/18 0.02543 2.37608  1.71607  0.720 0.442                                                        
112091 90/02/02 0.01825 2.44444  1.68247  0.773 0.448 151.02 304.69 0.107  0.045 35.390-44.634 0.4486  
113120 90/02/07 0.02370 2.41969  4.45596  0.410 0.201 216.44 332.78 0.154  0.094 35.959-46.026 0.7192  
113120 92/01/20 0.32153 1.43989  4.28450  1.576 0.208 205.89 303.42 0.199  0.085 38.172-46.331 0.7980  
120324 90/02/02 0.08503 1.95442  1.83730  0.652 0.420                                                        
120324 91/08/26 0.13875 1.88966  1.61733  0.632 0.461                                                        
120324 92/01/15 0.13628 1.89644  1.65222  0.537 0.454                                                        
124367 90/02/04 0.02514 2.27135  2.42938  0.614 0.337 203.16 322.35 0.114  0.025 36.113-44.427 0.4289  
124367 91/08/27 0.03234 2.13976  2.38457  0.872 0.343 211.38 325.20 0.106  0.024 37.142-44.676 0.3998  
124367 92/01/19 0.03123 2.08578  2.41283  0.627 0.339 186.81 311.35 0.100  0.011 36.576-44.102 0.3580  
127972 90/02/05 0.01494 2.43476  3.21335  0.392 0.267                                                        
127972 91/08/27 0.10960 2.14225  2.48899  0.338 0.331                                                        
127972 96/03/08 0.08502 2.01416  2.05987  0.788 0.385                                                        
131492 90/02/06 0.05714 2.19068  2.90862  0.642 0.291 293.91 470.80 0.057  0.009 36.885-46.814 0.3137  
131492 91/08/28 0.08706 2.00103  3.05506  0.965 0.279 297.98 414.46 0.067  0.019 36.010-45.070 0.3233  
131492 92/01/19 0.06119 2.13907  3.85398  0.816 0.229 219.30 335.71 0.074  0.036 36.742-44.229 0.3415  
134481 91/08/27 0.00341 2.77986  1.40722  0.365 0.509                                                        
135734 90/02/07 0.03180 1.98588  1.22446  0.645 0.558 288.67 210.09 0.023 -0.047 37.438-44.693        0.0637 -0.0505
135734 91/08/28 0.02520 2.13668  1.36783  0.485 0.519 298.10 411.92 0.014 -0.061 35.018-41.962        0.0425 -0.0982
135734 92/01/20 0.01944 2.27359  1.43183  0.491 0.503 311.16 487.03 0.010 -0.066 33.269-44.787        0.0409 -0.1217
137387 90/02/07 0.08528 1.92357  2.69663  1.294 0.310                     -0.114 35.233-44.762        0.0267 -0.3290
137387 91/08/29 0.07781 2.40250  2.30896  0.829 0.352 352.16 425.30 0.017 -0.175 37.459-44.480        0.0271 -0.2585
137387 92/01/20 0.30917 1.71647  1.73618  0.680 0.438        130.03 0.041        38.896-42.661 0.0827  
142184 91/08/30 0.05807 2.16982  1.65986  0.400 0.453                                                        
142983 90/02/04 0.01660 2.84817  2.37082  0.113 0.344 324.65 403.10 0.064 -0.618 35.976-43.614        0.1472 -0.8981
142983 91/08/25 0.01173 2.96589  3.03735  0.329 0.281                     -0.700 38.475-43.018        0.0140 -1.1521
142983 91/08/31 0.02839 2.52992  3.00767  0.268 0.283                     -0.693 38.496-43.161        0.0147 -1.1436
142983 92/01/19 0.02837 2.58974  2.87865  0.176 0.293 295.11        0.035 -0.688 38.321-42.985        0.0321 -1.0260
148184 90/02/06 0.02954 2.37113  3.57519  0.643 0.244  78.41 183.85 0.432  0.389 32.666-48.441 1.4563  
148184 91/08/29 0.08860 1.99262  4.45974  0.949 0.201        165.24 0.500        33.797-47.602 1.4253  
148184 92/01/18 0.02322 2.39226  4.99970  0.788 0.181  65.01 170.65 0.516  0.488 34.404-48.562 1.6521  
149757 90/02/06 0.11705 2.06343  3.09433  0.584 0.276                                                        
149757 91/08/29 0.06348 2.53686  3.45201  0.418 0.252                                                        
149757 92/01/20 0.03769 2.89813  3.64646  0.650 0.240                                                        
157042 91/08/30 0.03108 2.44543  3.85361  0.177 0.229 273.68 401.03 0.080 -0.009 35.573-43.929        0.2923 -0.0037
158427 91/08/30 0.07889 1.89215  2.64700  0.318 0.315 246.27 368.06 0.106  0.022 35.642-44.458 0.4472  
158643 91/08/30 0.02239 2.23385  1.10932  0.097 0.594                                                        
164284 91/08/26 0.06334 2.12832  1.98065  0.253 0.396 143.53 276.22 0.413  0.250 33.507-43.662 1.6786  
164284 92/09/02 0.03022 2.47330  2.62249  0.252 0.317 135.37 311.34 0.329  0.210 35.344-46.280 1.4774  
164284 96/09/22 0.01641 2.60576  3.20606  1.109 0.268 176.78 318.20 0.150  0.056 35.717-43.790 0.5800  
164284 97/09/14 0.01590 2.67993  2.93827  0.810 0.289 182.37 329.36 0.168  0.076 35.859-47.327 0.7306  
167128 91/08/29 0.12511 2.03002  2.37910  0.684 0.343 235.67 311.52 0.036 -0.126 37.527-43.528        0.0790 -0.1624
173948 91/08/26 0.19145 1.97598  2.65023  0.779 0.314 338.08 435.45 0.069 -0.032 36.950-44.351        0.1996 -0.0565
174237 92/09/04 0.19529 1.82007  1.61983  0.879 0.461        135.32 0.040        38.621-42.226 0.0740  
175869 91/08/29 0.04661 2.15752  1.23278  0.388 0.556                                                        
178175 91/08/26 0.19462 1.91820  1.57923  0.226 0.469 138.11 211.23 0.053  0.020 37.832-41.753 0.1293  
183656 91/08/28 0.06795 2.15360  1.72445  0.104 0.440 303.15 403.29 0.034 -0.537 36.514-43.019        0.0676 -0.6327
183656 92/09/07 0.03801 2.53530  1.90242  0.338 0.409 311.69 379.44 0.022 -0.534 36.378-43.285        0.0337 -0.6765
183914 92/09/06 0.03816 2.03252  1.23969  0.120 0.554 254.84 357.86 0.016 -0.004 35.951-43.173        0.0493 -0.0021
184279 91/08/27 0.13824 2.03442  4.24217  1.064 0.210 455.08        0.044 -0.268 38.703-44.743        0.0898 -0.5420
